@relation 1811teachset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-166,199,999,73,-44,135,Down
-162,198,993,73,-61,135,Down
-157,193,999,73,-61,90,Down
-156,195,998,57,-77,181,Down
-154,192,993,73,-61,135,Down
-156,199,989,73,-44,135,Down
-156,208,989,40,-61,90,Down
-160,196,996,73,-44,135,Down
-171,192,995,57,-61,90,Down
-168,195,987,57,-61,135,Down
-166,198,986,57,-61,0,Down
-163,195,984,57,-77,135,Down
-159,202,984,73,-77,45,Down
-154,199,987,24,-77,90,Down
-163,201,987,73,-61,45,Down
-163,193,987,40,-77,45,Down
-168,196,990,57,-44,45,Down
-168,193,990,57,-44,0,Down
-171,192,984,57,-44,90,Down
-172,196,984,57,-61,45,Down
-177,195,984,57,-44,45,Down
-178,198,989,57,-61,90,Down
-177,192,996,57,-61,90,Down
-168,192,990,57,-61,90,Down
-169,187,996,57,-44,90,Down
-168,187,996,57,-44,90,Down
-171,190,998,57,-44,90,Down
-175,192,990,57,-44,90,Down
-178,193,990,57,-44,90,Down
-174,192,990,57,-44,90,Down
-169,195,986,57,-44,90,Down
-169,195,993,57,-44,90,Down
-172,193,990,57,-44,90,Down
-169,189,996,57,-44,90,Down
-162,190,996,57,-44,90,Down
-166,196,998,57,-61,90,Down
-169,192,996,57,-44,90,Down
-171,193,1002,57,-61,90,Down
-168,193,1001,57,-61,90,Down
-160,193,998,73,-61,45,Down
-157,195,998,73,-61,90,Down
-157,193,1002,73,-44,45,Down
-160,195,1001,73,-44,90,Down
-165,190,999,90,-28,90,Down
-163,196,1001,73,-44,90,Down
-169,196,998,73,-44,181,Down
